trade_date,close,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,turnover_rate,volume_ratio,total_share,float_share,free_share,total_mv,circ_mv
20251219,7.88,79.7539,71.9658,2.1053,1.2181,1.004,0.3302,0.4318,1.5779,0.9,116572.23,116222.37,42921.6044,918589.1724,915832.2756
20251222,8.01,81.0696,73.1531,2.1401,1.2382,1.0206,0.3248,0.4248,1.4156,0.8,116572.23,116222.37,42921.6044,933743.5623,930941.1837
20251223,7.86,79.5515,71.7832,2.1,1.215,1.0015,0.331,0.4329,0.9582,0.63,116572.23,116222.37,42921.6044,916257.7278,913507.8282
20251224,7.93,80.26,72.4225,2.1187,1.2258,1.0104,0.3281,0.4291,0.9116,0.69,116572.23,116222.37,42921.6044,924417.7839,921643.3941
20251225,8.01,81.0696,73.1531,2.1401,1.2382,1.0206,0.3248,0.4248,1.2733,1.03,116572.23,116222.37,42921.6044,933743.5623,930941.1837
20251226,8.05,81.4745,73.5184,2.1507,1.2444,1.0257,0.3232,0.4227,2.0808,1.7,116572.23,116222.37,42921.6044,938406.4515,935590.0785
20251229,8.16,82.5878,74.523,2.1801,1.2614,1.0397,0.3189,0.417,2.1016,1.58,116572.23,116222.37,42921.6044,951229.3968,948374.5392
20251230,7.95,80.2209,72.3872,2.1217,1.2252,1.0099,0.3283,0.4293,1.4651,1.0,116222.37,116222.37,42921.6044,923967.8415,923967.8415
20251231,7.84,79.1109,71.3856,2.0923,1.2083,0.9959,0.3329,0.4353,1.4308,0.91,116222.37,116222.37,42921.6044,911183.3808,911183.3808
20260105,7.86,79.3127,71.5678,2.0977,1.2114,0.9985,0.4342,0.4342,1.4154,0.85,116222.37,116222.37,42921.6044,913507.8282,913507.8282
20260106,8.15,82.239,74.2083,2.1751,1.256,1.0353,0.4187,0.4187,2.1438,1.26,116222.37,116222.37,42921.6044,947212.3155,947212.3155
20260107,8.2,82.7436,74.6636,2.1884,1.2638,1.0416,0.4162,0.4162,1.9087,1.12,116222.37,116222.37,42921.6044,953023.434,953023.434
20260108,8.36,84.3581,76.1204,2.2311,1.2884,1.062,0.4082,0.4082,2.2386,1.34,116222.37,116222.37,42921.6044,971619.0132,971619.0132
20260109,8.93,90.1098,81.3104,2.3832,1.3763,1.1344,0.3822,0.3822,7.3076,4.0,116222.37,116222.37,42921.6044,1037865.7641,1037865.7641
20260112,8.84,89.2016,80.491,2.3592,1.3624,1.1229,0.3861,0.3861,4.6567,1.55,116222.37,116222.37,42921.6044,1027405.7508,1027405.7508
20260113,9.02,91.0179,82.1299,2.4072,1.3901,1.1458,0.3784,0.3784,4.2962,1.18,116222.37,116222.37,42921.6044,1048325.7774,1048325.7774
20260114,8.92,90.0089,81.2194,2.3806,1.3747,1.1331,0.3826,0.3826,3.3138,0.81,116222.37,116222.37,42921.6044,1036703.5404,1036703.5404
20260115,8.74,88.1925,79.5804,2.3325,1.347,1.1102,0.3905,0.3905,2.129,0.49,116222.37,116222.37,42921.6044,1015783.5138,1015783.5138
20260116,8.73,88.0916,79.4894,2.3299,1.3454,1.109,0.3909,0.3909,1.7179,0.4,116222.37,116222.37,42921.6044,1014621.2901,1014621.2901
20260119,9.07,91.5225,82.5852,2.4206,1.3978,1.1522,0.3763,0.3763,3.4335,1.07,116222.37,116222.37,42921.6044,1054136.8959,1054136.8959
20260120,8.96,90.4125,81.5836,2.3912,1.3809,1.1382,0.3809,0.3809,1.7435,0.59,116222.37,116222.37,42921.6044,1041352.4352,1041352.4352
20260121,9.4,94.8524,85.5899,2.5087,1.4487,1.1941,0.3631,0.3631,4.2969,1.74,116222.37,116222.37,42921.6044,1092490.278,1092490.278
20260122,9.33,94.146,84.9526,2.49,1.4379,1.1852,0.3658,0.3658,3.107,1.17,116222.37,116222.37,42921.6044,1084354.7121,1084354.7121
20260123,9.65,97.3751,87.8663,2.5754,1.4872,1.2258,0.3537,0.3537,4.1843,1.46,116222.37,116222.37,42921.6044,1121545.8705,1121545.8705
20260126,10.62,107.163,96.6984,2.8343,1.6367,1.3491,0.3214,0.3214,6.3406,1.89,116222.37,116222.37,42921.6044,1234281.5694,1234281.5694
20260127,11.4,115.0337,103.8006,3.0424,1.7569,1.4481,0.2994,0.2994,12.3336,3.13,116222.37,116222.37,42921.6044,1324935.018,1324935.018
20260128,10.92,110.1902,99.43,2.9143,1.6829,1.3872,0.3125,0.3125,7.3991,1.22,116222.37,116222.37,42921.6044,1269148.2804,1269148.2804
20260129,10.49,105.8512,95.5147,2.7996,1.6167,1.3325,0.3253,0.3253,5.1246,0.77,116222.37,116222.37,42921.6044,1219172.6613,1219172.6613
20260130,11.21,113.1165,102.0705,2.9917,1.7276,1.424,0.3044,0.3044,8.1986,1.16,116222.37,116222.37,42921.6044,1302852.7677,1302852.7677
20260202,10.7,107.9703,97.4268,2.8556,1.649,1.3592,0.319,0.319,5.9285,0.75,116222.37,116222.37,42921.6044,1243579.359,1243579.359
20260203,11.57,116.7492,105.3485,3.0878,1.7831,1.4697,0.295,0.295,7.4741,0.96,116222.37,116222.37,42921.6044,1344692.8209,1344692.8209
20260204,12.73,128.4543,115.9106,3.3974,1.9619,1.6171,0.2681,0.2681,12.4054,1.82,116222.37,116222.37,42921.6044,1479510.7701,1479510.7701
20260205,11.46,115.6392,104.3469,3.0584,1.7662,1.4558,0.2978,0.2978,10.6126,1.36,116222.37,116222.37,42921.6044,1331908.3602,1331908.3602
20260206,10.98,110.7957,99.9763,2.9303,1.6922,1.3948,0.3108,0.3108,7.01,0.79,116222.37,116222.37,42921.6044,1276121.6226,1276121.6226
20260209,11.04,111.4011,100.5226,2.9463,1.7014,1.4024,0.3091,0.3091,5.3589,0.62,116222.37,116222.37,42921.6044,1283094.9648,1283094.9648
20260210,10.72,108.1721,97.6089,2.8609,1.6521,1.3618,0.3184,0.3184,5.5215,0.64,116222.37,116222.37,42921.6044,1245903.8064,1245903.8064
20260211,10.37,104.6403,94.4221,2.7675,1.5982,1.3173,0.3291,0.3291,4.224,0.52,116222.37,116222.37,42921.6044,1205225.9769,1205225.9769
20260212,10.85,109.4839,98.7926,2.8956,1.6722,1.3783,0.3145,0.3145,5.15,0.79,116222.37,116222.37,42921.6044,1261012.7145,1261012.7145
20260213,10.69,107.8694,97.3358,2.8529,1.6475,1.358,0.3193,0.3193,3.0815,0.57,116222.37,116222.37,42921.6044,1242417.1353,1242417.1353
20260224,11.5,116.0428,104.7111,3.0691,1.7723,1.4608,0.2968,0.2968,5.6149,1.2,116222.37,116222.37,42921.6044,1336557.255,1336557.255
20260225,11.49,115.9419,104.62,3.0664,1.7708,1.4596,0.297,0.297,4.3448,0.92,116222.37,116222.37,42921.6044,1335395.0313,1335395.0313
20260226,11.59,116.951,105.5306,3.0931,1.7862,1.4723,0.2945,0.2945,3.2962,0.74,116222.37,116222.37,42921.6044,1347017.2683,1347017.2683
20260227,12.45,125.629,113.3611,3.3226,1.9187,1.5815,0.2741,0.2741,6.3359,1.47,116222.37,116222.37,42921.6044,1446968.5065,1446968.5065
20260302,11.92,120.2809,108.5353,3.1812,1.8371,1.5142,0.2863,0.2863,4.8921,1.08,116222.37,116222.37,42921.6044,1385370.6504,1385370.6504
